Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
2015,Atlanta Braves,NL,162,573,760,1361,100,3.54,4.69,8.4,0.62
2016,Atlanta Braves,NL,161,649,779,1404,122,4.03,4.84,8.72,0.76
2017,Atlanta Braves,NL,100,467,538,905,106,4.67,5.17,9.05,1.06
1970,Baltimore Orioles,AL,162,792,574,1424,179,4.89,3.54,8.79,1.1
1971,Baltimore Orioles,AL,158,742,530,1382,158,4.7,3.35,8.75,1
1972,Baltimore Orioles,AL,154,519,430,1153,100,3.37,2.79,7.49,0.65
1973,Baltimore Orioles,AL,162,754,561,1474,119,4.65,3.46,9.1,0.73
1974,Baltimore Orioles,AL,162,659,612,1418,116,4.07,3.78,8.75,0.72
1975,Baltimore Orioles,AL,159,682,553,1382,124,4.29,3.48,8.69,0.78
1976,Baltimore Orioles,AL,162,619,598,1326,119,3.82,3.69,8.19,0.73
1977,Baltimore Orioles,AL,161,719,653,1433,148,4.47,4.06,8.9,0.92
1978,Baltimore Orioles,AL,161,659,633,1397,154,4.09,3.93,8.68,0.96
1979,Baltimore Orioles,AL,159,757,582,1401,181,4.76,3.66,8.81,1.14
1980,Baltimore Orioles,AL,162,805,640,1523,156,4.97,3.95,9.4,0.96
1981,Baltimore Orioles,AL,105,429,437,883,88,4.09,4.16,8.41,0.84
1982,Baltimore Orioles,AL,163,774,687,1478,179,4.75,4.21,9.07,1.1
1983,Baltimore Orioles,AL,162,799,652,1492,168,4.93,4.02,9.21,1.04
1984,Baltimore Orioles,AL,162,681,667,1374,160,4.2,4.12,8.48,0.99
1985,Baltimore Orioles,AL,161,818,764,1451,214,5.08,4.75,9.01,1.33
1986,Baltimore Orioles,AL,162,708,760,1425,169,4.37,4.69,8.8,1.04
1987,Baltimore Orioles,AL,162,729,880,1437,211,4.5,5.43,8.87,1.3
1988,Baltimore Orioles,AL,161,550,789,1275,137,3.42,4.9,7.92,0.85
1989,Baltimore Orioles,AL,162,708,686,1369,129,4.37,4.23,8.45,0.8
1990,Baltimore Orioles,AL,161,669,698,1328,132,4.16,4.34,8.25,0.82
1991,Baltimore Orioles,AL,162,686,796,1421,170,4.23,4.91,8.77,1.05
1992,Baltimore Orioles,AL,162,705,656,1423,148,4.35,4.05,8.78,0.91
1993,Baltimore Orioles,AL,162,786,745,1470,157,4.85,4.6,9.07,0.97
1994,Baltimore Orioles,AL,112,589,497,1047,139,5.26,4.44,9.35,1.24
1995,Baltimore Orioles,AL,144,704,640,1267,173,4.89,4.44,8.8,1.2
1996,Baltimore Orioles,AL,163,949,903,1557,257,5.82,5.54,9.55,1.58
1997,Baltimore Orioles,AL,162,812,681,1498,196,5.01,4.2,9.25,1.21
1998,Baltimore Orioles,AL,162,817,785,1520,214,5.04,4.85,9.38,1.32
1999,Baltimore Orioles,AL,162,851,815,1572,203,5.25,5.03,9.7,1.25
2000,Baltimore Orioles,AL,162,794,913,1508,184,4.9,5.64,9.31,1.14
2001,Baltimore Orioles,AL,162,687,829,1359,136,4.24,5.12,8.39,0.84
2002,Baltimore Orioles,AL,162,667,773,1353,165,4.12,4.77,8.35,1.02
2003,Baltimore Orioles,AL,163,743,820,1516,152,4.56,5.03,9.3,0.93
2004,Baltimore Orioles,AL,162,842,830,1614,169,5.2,5.12,9.96,1.04
2005,Baltimore Orioles,AL,162,729,800,1492,189,4.5,4.94,9.21,1.17
2006,Baltimore Orioles,AL,162,768,899,1556,164,4.74,5.55,9.6,1.01
2007,Baltimore Orioles,AL,162,756,868,1529,142,4.67,5.36,9.44,0.88
2008,Baltimore Orioles,AL,161,782,869,1486,172,4.86,5.4,9.23,1.07
2009,Baltimore Orioles,AL,162,741,876,1508,160,4.57,5.41,9.31,0.99
2010,Baltimore Orioles,AL,162,613,785,1440,133,3.78,4.85,8.89,0.82
2011,Baltimore Orioles,AL,162,708,860,1434,191,4.37,5.31,8.85,1.18
2012,Baltimore Orioles,AL,162,712,705,1375,214,4.4,4.35,8.49,1.32
2013,Baltimore Orioles,AL,162,745,709,1460,212,4.6,4.38,9.01,1.31
2014,Baltimore Orioles,AL,162,705,593,1434,211,4.35,3.66,8.85,1.3
2015,Baltimore Orioles,AL,162,713,693,1370,217,4.4,4.28,8.46,1.34
2016,Baltimore Orioles,AL,162,744,715,1413,253,4.59,4.41,8.72,1.56
2017,Baltimore Orioles,AL,101,467,555,903,143,4.62,5.34,8.94,1.42
1970,Boston Red Sox,AL,162,786,722,1450,203,4.85,4.46,8.95,1.25
1971,Boston Red Sox,AL,162,691,667,1360,161,4.27,4.12,8.4,0.99
1972,Boston Red Sox,AL,155,640,620,1289,124,4.13,4,8.32,0.8
1973,Boston Red Sox,AL,162,738,647,1472,147,4.56,3.99,9.09,0.91
1974,Boston Red Sox,AL,162,696,661,1449,109,4.3,4.08,8.94,0.67
1975,Boston Red Sox,AL,160,796,709,1500,134,4.98,4.43,9.38,0.84
1976,Boston Red Sox,AL,162,716,660,1448,134,4.42,4.07,8.94,0.83
1977,Boston Red Sox,AL,161,859,712,1551,213,5.34,4.42,9.63,1.32
1978,Boston Red Sox,AL,163,796,657,1493,172,4.88,4.03,9.16,1.06
1979,Boston Red Sox,AL,160,841,711,1567,194,5.26,4.44,9.79,1.21
1980,Boston Red Sox,AL,160,757,767,1588,162,4.73,4.79,9.93,1.01
1981,Boston Red Sox,AL,108,519,481,1052,90,4.81,4.45,9.74,0.83
1982,Boston Red Sox,AL,162,753,713,1536,136,4.65,4.4,9.48,0.84
1983,Boston Red Sox,AL,162,724,775,1512,142,4.47,4.78,9.33,0.88
1984,Boston Red Sox,AL,162,810,764,1598,181,5,4.72,9.86,1.12
1985,Boston Red Sox,AL,163,800,720,1615,162,4.91,4.42,9.91,0.99
1986,Boston Red Sox,AL,161,794,696,1488,144,4.93,4.32,9.24,0.89
1987,Boston Red Sox,AL,162,842,825,1554,174,5.2,5.09,9.59,1.07
1988,Boston Red Sox,AL,162,813,689,1569,124,5.02,4.25,9.69,0.77
1989,Boston Red Sox,AL,162,774,735,1571,108,4.78,4.54,9.7,0.67
1990,Boston Red Sox,AL,162,699,664,1502,106,4.31,4.1,9.27,0.65
1991,Boston Red Sox,AL,162,731,712,1486,126,4.51,4.4,9.17,0.78
1992,Boston Red Sox,AL,162,599,669,1343,84,3.7,4.13,8.29,0.52
1993,Boston Red Sox,AL,162,686,698,1451,114,4.23,4.31,8.96,0.7
1994,Boston Red Sox,AL,115,552,621,1038,120,4.8,5.4,9.03,1.04
1995,Boston Red Sox,AL,144,791,698,1399,175,5.49,4.85,9.72,1.22
1996,Boston Red Sox,AL,162,928,921,1631,209,5.73,5.69,10.07,1.29
1997,Boston Red Sox,AL,162,851,857,1684,185,5.25,5.29,10.4,1.14
1998,Boston Red Sox,AL,162,876,729,1568,205,5.41,4.5,9.68,1.27
1999,Boston Red Sox,AL,162,836,718,1551,176,5.16,4.43,9.57,1.09
2000,Boston Red Sox,AL,162,792,745,1503,167,4.89,4.6,9.28,1.03
2001,Boston Red Sox,AL,161,772,745,1493,198,4.8,4.63,9.27,1.23
2002,Boston Red Sox,AL,162,859,665,1560,177,5.3,4.1,9.63,1.09
2003,Boston Red Sox,AL,162,961,809,1667,238,5.93,4.99,10.29,1.47
2004,Boston Red Sox,AL,162,949,768,1613,222,5.86,4.74,9.96,1.37
2005,Boston Red Sox,AL,162,910,805,1579,199,5.62,4.97,9.75,1.23
2006,Boston Red Sox,AL,162,820,825,1510,192,5.06,5.09,9.32,1.19
2007,Boston Red Sox,AL,162,867,657,1561,166,5.35,4.06,9.64,1.02
2008,Boston Red Sox,AL,162,845,694,1565,173,5.22,4.28,9.66,1.07
2009,Boston Red Sox,AL,162,872,736,1495,212,5.38,4.54,9.23,1.31
2010,Boston Red Sox,AL,162,818,744,1511,211,5.05,4.59,9.33,1.3
2011,Boston Red Sox,AL,162,875,737,1600,203,5.4,4.55,9.88,1.25
2012,Boston Red Sox,AL,162,734,806,1459,165,4.53,4.98,9.01,1.02
2013,Boston Red Sox,AL,162,853,656,1566,178,5.27,4.05,9.67,1.1
2014,Boston Red Sox,AL,162,634,715,1355,123,3.91,4.41,8.36,0.76
2015,Boston Red Sox,AL,162,748,753,1495,161,4.62,4.65,9.23,0.99
2016,Boston Red Sox,AL,162,878,694,1598,208,5.42,4.28,9.86,1.28
2017,Boston Red Sox,AL,103,479,433,929,102,4.65,4.08,9.02,0.99
1970,California Angels,AL,162,631,630,1391,114,3.9,3.89,8.59,0.7
1971,California Angels,AL,162,511,576,1271,96,3.15,3.56,7.85,0.59
1972,California Angels,AL,155,454,533,1249,78,2.93,3.44,8.06,0.5
1973,California Angels,AL,162,629,657,1395,93,3.88,4.06,8.61,0.57
1974,California Angels,AL,163,618,657,1372,95,3.79,4.03,8.42,0.58
1975,California Angels,AL,161,628,723,1324,55,3.9,4.49,8.22,0.34
1976,California Angels,AL,162,550,631,1265,63,3.4,3.9,7.81,0.39
1977,California Angels,AL,162,675,695,1380,131,4.17,4.29,8.52,0.81
1978,California Angels,AL,162,691,666,1417,108,4.27,4.11,8.75,0.67
1979,California Angels,AL,162,866,768,1563,164,5.35,4.74,9.65,1.01
1980,California Angels,AL,160,698,797,1442,106,4.36,4.98,9.01,0.66
1981,California Angels,AL,110,476,453,944,97,4.33,4.12,8.58,0.88
1982,California Angels,AL,162,814,670,1518,186,5.02,4.14,9.37,1.15
1983,California Angels,AL,162,722,779,1467,154,4.46,4.81,9.06,0.95
1984,California Angels,AL,162,696,697,1363,150,4.3,4.3,8.41,0.93
1985,California Angels,AL,162,732,703,1364,153,4.52,4.34,8.42,0.94
1986,California Angels,AL,162,786,684,1387,167,4.85,4.22,8.56,1.03
1987,California Angels,AL,162,770,803,1406,172,4.75,4.96,8.68,1.06
1988,California Angels,AL,162,714,771,1458,124,4.41,4.76,9,0.77
1989,California Angels,AL,162,669,578,1422,145,4.13,3.57,8.78,0.9
1990,California Angels,AL,162,690,706,1448,147,4.26,4.36,8.94,0.91
1991,California Angels,AL,162,653,649,1396,115,4.03,4.01,8.62,0.71
1992,California Angels,AL,162,579,671,1306,88,3.57,4.14,8.06,0.54
1993,California Angels,AL,162,684,770,1399,114,4.22,4.75,8.64,0.7
1994,California Angels,AL,115,543,660,1042,120,4.72,5.74,9.06,1.04
1995,California Angels,AL,145,801,697,1390,186,5.52,4.81,9.59,1.28
1996,California Angels,AL,161,762,943,1571,192,4.73,5.86,9.76,1.19
