Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
2001,Cincinnati Reds,NL,162,735,850,1464,176,4.54,5.25,9.04,1.09
2002,Cincinnati Reds,NL,162,709,774,1386,169,4.38,4.78,8.56,1.04
2003,Cincinnati Reds,NL,162,694,886,1349,182,4.28,5.47,8.33,1.12
2004,Cincinnati Reds,NL,162,750,907,1380,194,4.63,5.6,8.52,1.2
2005,Cincinnati Reds,NL,163,820,889,1453,222,5.03,5.45,8.91,1.36
2006,Cincinnati Reds,NL,162,749,801,1419,217,4.62,4.94,8.76,1.34
2007,Cincinnati Reds,NL,162,783,853,1496,204,4.83,5.27,9.23,1.26
2008,Cincinnati Reds,NL,162,704,800,1351,187,4.35,4.94,8.34,1.15
2009,Cincinnati Reds,NL,162,673,723,1349,158,4.15,4.46,8.33,0.98
2010,Cincinnati Reds,NL,162,790,685,1515,188,4.88,4.23,9.35,1.16
2011,Cincinnati Reds,NL,162,735,720,1438,183,4.54,4.44,8.88,1.13
2012,Cincinnati Reds,NL,162,669,588,1377,172,4.13,3.63,8.5,1.06
2013,Cincinnati Reds,NL,162,698,589,1370,155,4.31,3.64,8.46,0.96
2014,Cincinnati Reds,NL,162,595,612,1282,131,3.67,3.78,7.91,0.81
2015,Cincinnati Reds,NL,162,641,754,1382,167,3.96,4.65,8.53,1.03
2016,Cincinnati Reds,NL,162,716,854,1403,164,4.42,5.27,8.66,1.01
2017,Cincinnati Reds,NL,102,465,576,888,138,4.56,5.49,8.71,1.35
1970,Cleveland Indians,AL,162,649,675,1358,183,4.01,4.17,8.38,1.13
1971,Cleveland Indians,AL,162,543,747,1303,109,3.35,4.61,8.04,0.67
1972,Cleveland Indians,AL,156,472,519,1220,91,3.03,3.33,7.82,0.58
1973,Cleveland Indians,AL,162,680,826,1429,158,4.2,5.1,8.82,0.98
1974,Cleveland Indians,AL,162,662,694,1395,131,4.09,4.28,8.61,0.81
1975,Cleveland Indians,AL,159,688,703,1409,153,4.33,4.42,8.86,0.96
1976,Cleveland Indians,AL,159,615,615,1423,85,3.87,3.87,8.95,0.53
1977,Cleveland Indians,AL,161,676,739,1476,100,4.2,4.59,9.17,0.62
1978,Cleveland Indians,AL,159,639,694,1400,106,4.02,4.36,8.81,0.67
1979,Cleveland Indians,AL,161,760,805,1388,138,4.72,5,8.62,0.86
1980,Cleveland Indians,AL,160,738,807,1517,89,4.61,5.04,9.48,0.56
1981,Cleveland Indians,AL,103,431,442,922,39,4.18,4.29,8.95,0.38
1982,Cleveland Indians,AL,162,683,748,1458,109,4.22,4.62,9,0.67
1983,Cleveland Indians,AL,162,704,785,1451,86,4.35,4.85,8.96,0.53
1984,Cleveland Indians,AL,163,761,766,1498,123,4.67,4.7,9.19,0.75
1985,Cleveland Indians,AL,162,729,861,1465,116,4.5,5.31,9.04,0.72
1986,Cleveland Indians,AL,163,831,841,1620,157,5.1,5.16,9.94,0.96
1987,Cleveland Indians,AL,162,742,957,1476,187,4.58,5.91,9.11,1.15
1988,Cleveland Indians,AL,162,666,731,1435,134,4.11,4.51,8.86,0.83
1989,Cleveland Indians,AL,162,604,654,1340,127,3.73,4.04,8.27,0.78
1990,Cleveland Indians,AL,162,732,737,1465,110,4.52,4.55,9.04,0.68
1991,Cleveland Indians,AL,162,576,759,1390,79,3.56,4.69,8.58,0.49
1992,Cleveland Indians,AL,162,674,746,1495,127,4.16,4.6,9.23,0.78
1993,Cleveland Indians,AL,162,790,813,1547,141,4.88,5.02,9.55,0.87
1994,Cleveland Indians,AL,113,679,562,1165,167,6.01,4.97,10.31,1.48
1995,Cleveland Indians,AL,144,840,607,1461,207,5.83,4.22,10.15,1.44
1996,Cleveland Indians,AL,161,952,769,1665,218,5.91,4.78,10.34,1.35
1997,Cleveland Indians,AL,161,868,815,1589,220,5.39,5.06,9.87,1.37
1998,Cleveland Indians,AL,162,850,779,1530,198,5.25,4.81,9.44,1.22
1999,Cleveland Indians,AL,162,1009,860,1629,209,6.23,5.31,10.06,1.29
2000,Cleveland Indians,AL,162,950,816,1639,221,5.86,5.04,10.12,1.36
2001,Cleveland Indians,AL,162,897,821,1559,212,5.54,5.07,9.62,1.31
2002,Cleveland Indians,AL,162,739,837,1349,192,4.56,5.17,8.33,1.19
2003,Cleveland Indians,AL,162,699,778,1413,158,4.31,4.8,8.72,0.98
2004,Cleveland Indians,AL,162,858,857,1565,184,5.3,5.29,9.66,1.14
2005,Cleveland Indians,AL,162,790,642,1522,207,4.88,3.96,9.4,1.28
2006,Cleveland Indians,AL,162,870,782,1576,196,5.37,4.83,9.73,1.21
2007,Cleveland Indians,AL,162,811,704,1504,178,5.01,4.35,9.28,1.1
2008,Cleveland Indians,AL,162,805,761,1455,171,4.97,4.7,8.98,1.06
2009,Cleveland Indians,AL,162,773,865,1468,161,4.77,5.34,9.06,0.99
2010,Cleveland Indians,AL,162,646,752,1362,128,3.99,4.64,8.41,0.79
2011,Cleveland Indians,AL,162,704,760,1380,154,4.35,4.69,8.52,0.95
2012,Cleveland Indians,AL,162,667,845,1385,136,4.12,5.22,8.55,0.84
2013,Cleveland Indians,AL,162,745,662,1391,171,4.6,4.09,8.59,1.06
2014,Cleveland Indians,AL,162,669,653,1411,142,4.13,4.03,8.71,0.88
2015,Cleveland Indians,AL,161,669,640,1395,141,4.16,3.98,8.66,0.88
2016,Cleveland Indians,AL,161,777,676,1435,185,4.83,4.2,8.91,1.15
2017,Cleveland Indians,AL,100,489,403,892,117,4.89,3.91,8.92,1.17
1993,Colorado Rockies,NL,162,758,967,1507,142,4.68,5.97,9.3,0.88
1994,Colorado Rockies,NL,117,573,638,1098,125,4.9,5.45,9.38,1.07
1995,Colorado Rockies,NL,144,785,783,1406,200,5.45,5.44,9.76,1.39
1996,Colorado Rockies,NL,162,961,964,1607,221,5.93,5.95,9.92,1.36
1997,Colorado Rockies,NL,162,923,908,1611,239,5.7,5.6,9.94,1.48
1998,Colorado Rockies,NL,162,826,855,1640,183,5.1,5.28,10.12,1.13
1999,Colorado Rockies,NL,162,906,1028,1644,223,5.59,6.35,10.15,1.38
2000,Colorado Rockies,NL,162,968,897,1664,161,5.98,5.54,10.27,0.99
2001,Colorado Rockies,NL,162,923,906,1663,213,5.7,5.59,10.27,1.31
2002,Colorado Rockies,NL,162,778,898,1508,152,4.8,5.54,9.31,0.94
2003,Colorado Rockies,NL,162,853,892,1472,198,5.27,5.51,9.09,1.22
2004,Colorado Rockies,NL,162,833,923,1531,202,5.14,5.7,9.45,1.25
2005,Colorado Rockies,NL,162,740,862,1477,150,4.57,5.32,9.12,0.93
2006,Colorado Rockies,NL,162,813,812,1504,157,5.02,5.01,9.28,0.97
2007,Colorado Rockies,NL,163,860,758,1591,171,5.28,4.65,9.76,1.05
2008,Colorado Rockies,NL,162,747,822,1462,160,4.61,5.07,9.02,0.99
2009,Colorado Rockies,NL,162,804,715,1408,190,4.96,4.41,8.69,1.17
2010,Colorado Rockies,NL,162,770,717,1452,173,4.75,4.43,8.96,1.07
2011,Colorado Rockies,NL,162,735,774,1429,163,4.54,4.78,8.82,1.01
2012,Colorado Rockies,NL,162,758,890,1526,166,4.68,5.49,9.42,1.02
2013,Colorado Rockies,NL,162,706,760,1511,159,4.36,4.69,9.33,0.98
2014,Colorado Rockies,NL,162,755,818,1551,186,4.66,5.05,9.57,1.15
2015,Colorado Rockies,NL,162,737,844,1479,186,4.55,5.21,9.13,1.15
2016,Colorado Rockies,NL,162,845,860,1544,204,5.22,5.31,9.53,1.26
2017,Colorado Rockies,NL,103,549,514,974,124,5.33,4.85,9.46,1.2
1970,Detroit Tigers,AL,162,666,731,1282,148,4.11,4.51,7.91,0.91
1971,Detroit Tigers,AL,162,701,645,1399,179,4.33,3.98,8.64,1.1
1972,Detroit Tigers,AL,156,558,514,1206,122,3.58,3.29,7.73,0.78
1973,Detroit Tigers,AL,162,642,674,1400,157,3.96,4.16,8.64,0.97
1974,Detroit Tigers,AL,162,620,768,1375,131,3.83,4.74,8.49,0.81
1975,Detroit Tigers,AL,159,570,786,1338,125,3.58,4.94,8.42,0.79
1976,Detroit Tigers,AL,161,609,709,1401,101,3.78,4.4,8.7,0.63
1977,Detroit Tigers,AL,162,714,751,1480,166,4.41,4.64,9.14,1.02
1978,Detroit Tigers,AL,162,714,653,1520,129,4.41,4.03,9.38,0.8
1979,Detroit Tigers,AL,161,770,738,1446,164,4.78,4.58,8.98,1.02
1980,Detroit Tigers,AL,163,830,757,1543,143,5.09,4.64,9.47,0.88
1981,Detroit Tigers,AL,109,427,404,922,65,3.92,3.71,8.46,0.6
1982,Detroit Tigers,AL,162,729,685,1489,177,4.5,4.23,9.19,1.09
1983,Detroit Tigers,AL,162,789,679,1530,156,4.87,4.19,9.44,0.96
1984,Detroit Tigers,AL,162,829,643,1529,187,5.12,3.97,9.44,1.15
1985,Detroit Tigers,AL,161,729,688,1413,202,4.53,4.27,8.78,1.25
1986,Detroit Tigers,AL,162,798,714,1447,198,4.93,4.41,8.93,1.22
1987,Detroit Tigers,AL,162,896,735,1535,225,5.53,4.54,9.48,1.39
1988,Detroit Tigers,AL,162,703,658,1358,143,4.34,4.06,8.38,0.88
1989,Detroit Tigers,AL,162,617,816,1315,116,3.81,5.04,8.12,0.72
1990,Detroit Tigers,AL,162,750,754,1418,172,4.63,4.65,8.75,1.06
1991,Detroit Tigers,AL,162,817,794,1372,209,5.04,4.9,8.47,1.29
1992,Detroit Tigers,AL,162,791,794,1411,182,4.88,4.9,8.71,1.12
1993,Detroit Tigers,AL,162,899,837,1546,178,5.55,5.17,9.54,1.1
1994,Detroit Tigers,AL,115,652,671,1048,161,5.67,5.83,9.11,1.4
1995,Detroit Tigers,AL,144,654,844,1204,159,4.54,5.86,8.36,1.1
1996,Detroit Tigers,AL,162,783,1103,1413,204,4.83,6.81,8.72,1.26
1997,Detroit Tigers,AL,162,784,790,1415,176,4.84,4.88,8.73,1.09
1998,Detroit Tigers,AL,162,722,863,1494,165,4.46,5.33,9.22,1.02
1999,Detroit Tigers,AL,161,747,882,1433,212,4.64,5.48,8.9,1.32
2000,Detroit Tigers,AL,162,823,827,1553,177,5.08,5.1,9.59,1.09
2001,Detroit Tigers,AL,162,724,876,1439,139,4.47,5.41,8.88,0.86
2002,Detroit Tigers,AL,161,575,864,1340,124,3.57,5.37,8.32,0.77
2003,Detroit Tigers,AL,162,591,928,1312,153,3.65,5.73,8.1,0.94
2004,Detroit Tigers,AL,162,827,844,1531,201,5.1,5.21,9.45,1.24
2005,Detroit Tigers,AL,162,723,787,1521,168,4.46,4.86,9.39,1.04
2006,Detroit Tigers,AL,162,822,675,1548,203,5.07,4.17,9.56,1.25
2007,Detroit Tigers,AL,162,887,797,1652,177,5.48,4.92,10.2,1.09
2008,Detroit Tigers,AL,162,821,857,1529,200,5.07,5.29,9.44,1.23
2009,Detroit Tigers,AL,163,743,745,1443,183,4.56,4.57,8.85,1.12
2010,Detroit Tigers,AL,162,751,743,1515,152,4.64,4.59,9.35,0.94
2011,Detroit Tigers,AL,162,787,711,1540,169,4.86,4.39,9.51,1.04
2012,Detroit Tigers,AL,162,726,670,1467,163,4.48,4.14,9.06,1.01
2013,Detroit Tigers,AL,162,796,624,1625,176,4.91,3.85,10.03,1.09
2014,Detroit Tigers,AL,162,757,705,1557,155,4.67,4.35,9.61,0.96
2015,Detroit Tigers,AL,161,689,803,1515,151,4.28,4.99,9.41,0.94
2016,Detroit Tigers,AL,161,750,721,1476,211,4.66,4.48,9.17,1.31
2017,Detroit Tigers,AL,100,480,527,889,118,4.8,5.12,8.89,1.18
1993,Florida Marlins,NL,162,581,724,1356,94,3.59,4.47,8.37,0.58
1994,Florida Marlins,NL,115,468,576,1043,94,4.07,5.01,9.07,0.82
1995,Florida Marlins,NL,143,673,673,1278,144,4.71,4.71,8.94,1.01
1996,Florida Marlins,NL,162,688,703,1413,150,4.25,4.34,8.72,0.93
1997,Florida Marlins,NL,162,740,669,1410,136,4.57,4.13,8.7,0.84
1998,Florida Marlins,NL,162,667,923,1381,114,4.12,5.7,8.52,0.7
1999,Florida Marlins,NL,162,691,852,1465,128,4.27,5.26,9.04,0.79
2000,Florida Marlins,NL,161,731,797,1441,160,4.54,4.95,8.95,0.99
2001,Florida Marlins,NL,162,742,744,1461,166,4.58,4.59,9.02,1.02
2002,Florida Marlins,NL,162,699,763,1433,146,4.31,4.71,8.85,0.9
2003,Florida Marlins,NL,162,751,692,1459,157,4.64,4.27,9.01,0.97
2004,Florida Marlins,NL,162,718,700,1447,148,4.43,4.32,8.93,0.91
2005,Florida Marlins,NL,162,717,732,1499,128,4.43,4.52,9.25,0.79
2006,Florida Marlins,NL,162,758,772,1454,182,4.68,4.77,8.98,1.12
2007,Florida Marlins,NL,162,790,891,1504,201,4.88,5.5,9.28,1.24
2008,Florida Marlins,NL,161,770,767,1397,208,4.78,4.76,8.68,1.29
2009,Florida Marlins,NL,162,772,766,1493,159,4.77,4.73,9.22,0.98
2010,Florida Marlins,NL,162,719,717,1403,152,4.44,4.43,8.66,0.94
2011,Florida Marlins,NL,162,625,702,1358,149,3.86,4.33,8.38,0.92
1970,Houston Astros,NL,162,744,763,1446,129,4.59,4.71,8.93,0.8
1971,Houston Astros,NL,162,585,567,1319,71,3.61,3.5,8.14,0.44
1972,Houston Astros,NL,153,708,636,1359,134,4.63,4.16,8.88,0.88
1973,Houston Astros,NL,162,681,672,1391,134,4.2,4.15,8.59,0.83
1974,Houston Astros,NL,162,653,632,1441,110,4.03,3.9,8.9,0.68
1975,Houston Astros,NL,162,664,711,1401,84,4.1,4.39,8.65,0.52
1976,Houston Astros,NL,162,625,657,1401,66,3.86,4.06,8.65,0.41
1977,Houston Astros,NL,162,680,650,1405,114,4.2,4.01,8.67,0.7
1978,Houston Astros,NL,162,605,634,1408,70,3.73,3.91,8.69,0.43
1979,Houston Astros,NL,162,583,582,1382,49,3.6,3.59,8.53,0.3
1980,Houston Astros,NL,163,637,589,1455,75,3.91,3.61,8.93,0.46
1981,Houston Astros,NL,110,394,331,948,45,3.58,3.01,8.62,0.41
1982,Houston Astros,NL,162,569,620,1342,74,3.51,3.83,8.28,0.46
1983,Houston Astros,NL,162,643,646,1412,97,3.97,3.99,8.72,0.6
1984,Houston Astros,NL,162,693,630,1465,79,4.28,3.89,9.04,0.49
1985,Houston Astros,NL,162,706,691,1457,121,4.36,4.27,8.99,0.75
1986,Houston Astros,NL,162,654,569,1388,125,4.04,3.51,8.57,0.77
1987,Houston Astros,NL,162,648,678,1386,122,4,4.19,8.56,0.75
1988,Houston Astros,NL,162,617,631,1338,96,3.81,3.9,8.26,0.59
1989,Houston Astros,NL,162,647,669,1316,97,3.99,4.13,8.12,0.6
1990,Houston Astros,NL,162,573,656,1301,94,3.54,4.05,8.03,0.58
1991,Houston Astros,NL,162,605,717,1345,79,3.73,4.43,8.3,0.49
1992,Houston Astros,NL,162,608,668,1350,96,3.75,4.12,8.33,0.59
1993,Houston Astros,NL,162,716,630,1459,138,4.42,3.89,9.01,0.85
1994,Houston Astros,NL,115,602,503,1099,120,5.23,4.37,9.56,1.04
1995,Houston Astros,NL,144,747,674,1403,109,5.19,4.68,9.74,0.76
1996,Houston Astros,NL,162,753,792,1445,129,4.65,4.89,8.92,0.8
1997,Houston Astros,NL,162,777,660,1427,133,4.8,4.07,8.81,0.82
1998,Houston Astros,NL,162,874,620,1578,166,5.4,3.83,9.74,1.02
1999,Houston Astros,NL,162,823,675,1463,168,5.08,4.17,9.03,1.04
2000,Houston Astros,NL,162,938,944,1547,249,5.79,5.83,9.55,1.54
2001,Houston Astros,NL,162,847,769,1500,208,5.23,4.75,9.26,1.28
2002,Houston Astros,NL,162,749,695,1441,167,4.62,4.29,8.9,1.03
2003,Houston Astros,NL,162,805,677,1466,191,4.97,4.18,9.05,1.18
2004,Houston Astros,NL,162,803,698,1458,187,4.96,4.31,9,1.15
2005,Houston Astros,NL,163,693,609,1400,161,4.25,3.74,8.59,0.99
2006,Houston Astros,NL,162,735,719,1407,174,4.54,4.44,8.69,1.07
2007,Houston Astros,NL,162,723,813,1457,167,4.46,5.02,8.99,1.03
2008,Houston Astros,NL,161,712,743,1432,167,4.42,4.61,8.89,1.04
2009,Houston Astros,NL,162,643,770,1415,142,3.97,4.75,8.73,0.88
2010,Houston Astros,NL,162,611,729,1348,108,3.77,4.5,8.32,0.67
2011,Houston Astros,NL,162,615,796,1442,95,3.8,4.91,8.9,0.59
2012,Houston Astros,NL,162,583,794,1276,146,3.6,4.9,7.88,0.9
2013,Houston Astros,AL,162,610,848,1307,148,3.77,5.23,8.07,0.91
2014,Houston Astros,AL,162,629,723,1317,163,3.88,4.46,8.13,1.01
2015,Houston Astros,AL,162,729,618,1363,230,4.5,3.81,8.41,1.42
2016,Houston Astros,AL,162,724,701,1367,198,4.47,4.33,8.44,1.22
2017,Houston Astros,AL,101,599,448,1031,165,5.93,4.31,10.21,1.63
1970,Kansas City Royals,AL,162,611,705,1341,97,3.77,4.35,8.28,0.6
1971,Kansas City Royals,AL,161,603,566,1323,80,3.75,3.52,8.22,0.5
1972,Kansas City Royals,AL,154,580,545,1317,78,3.77,3.54,8.55,0.51
1973,Kansas City Royals,AL,162,755,752,1440,114,4.66,4.64,8.89,0.7
1974,Kansas City Royals,AL,162,667,662,1448,89,4.12,4.09,8.94,0.55
1975,Kansas City Royals,AL,162,710,649,1431,118,4.38,4.01,8.83,0.73
1976,Kansas City Royals,AL,162,713,611,1490,65,4.4,3.77,9.2,0.4
1977,Kansas City Royals,AL,162,822,651,1549,146,5.07,4.02,9.56,0.9
1978,Kansas City Royals,AL,162,743,634,1469,98,4.59,3.91,9.07,0.6
1979,Kansas City Royals,AL,162,851,816,1596,116,5.25,5.04,9.85,0.72
1980,Kansas City Royals,AL,162,809,694,1633,115,4.99,4.28,10.08,0.71
1981,Kansas City Royals,AL,103,397,405,952,61,3.85,3.93,9.24,0.59
1982,Kansas City Royals,AL,162,784,717,1603,132,4.84,4.43,9.9,0.81
1983,Kansas City Royals,AL,163,696,767,1515,109,4.27,4.71,9.29,0.67
1984,Kansas City Royals,AL,162,673,686,1487,117,4.15,4.23,9.18,0.72
1985,Kansas City Royals,AL,162,687,639,1384,154,4.24,3.94,8.54,0.95
1986,Kansas City Royals,AL,162,654,673,1403,137,4.04,4.15,8.66,0.85
1987,Kansas City Royals,AL,162,715,691,1443,168,4.41,4.27,8.91,1.04
1988,Kansas City Royals,AL,161,704,648,1419,121,4.37,4.02,8.81,0.75
1989,Kansas City Royals,AL,162,690,635,1428,101,4.26,3.92,8.81,0.62
1990,Kansas City Royals,AL,161,707,709,1465,100,4.39,4.4,9.1,0.62
1991,Kansas City Royals,AL,162,727,722,1475,117,4.49,4.46,9.1,0.72
1992,Kansas City Royals,AL,162,610,667,1411,75,3.77,4.12,8.71,0.46
1993,Kansas City Royals,AL,162,675,694,1455,125,4.17,4.28,8.98,0.77
1994,Kansas City Royals,AL,115,574,532,1051,100,4.99,4.63,9.14,0.87
1995,Kansas City Royals,AL,144,629,691,1275,119,4.37,4.8,8.85,0.83
1996,Kansas City Royals,AL,161,746,786,1477,123,4.63,4.88,9.17,0.76
1997,Kansas City Royals,AL,161,747,820,1478,158,4.64,5.09,9.18,0.98
1998,Kansas City Royals,AL,161,714,899,1459,134,4.43,5.58,9.06,0.83
1999,Kansas City Royals,AL,161,856,921,1584,151,5.32,5.72,9.84,0.94
2000,Kansas City Royals,AL,162,879,930,1644,150,5.43,5.74,10.15,0.93
2001,Kansas City Royals,AL,162,729,858,1503,152,4.5,5.3,9.28,0.94
2002,Kansas City Royals,AL,162,737,891,1415,140,4.55,5.5,8.73,0.86
2003,Kansas City Royals,AL,162,836,867,1526,162,5.16,5.35,9.42,1
2004,Kansas City Royals,AL,162,720,905,1432,150,4.44,5.59,8.84,0.93
2005,Kansas City Royals,AL,162,701,935,1445,126,4.33,5.77,8.92,0.78
2006,Kansas City Royals,AL,162,757,971,1515,124,4.67,5.99,9.35,0.77
2007,Kansas City Royals,AL,162,706,778,1447,102,4.36,4.8,8.93,0.63
2008,Kansas City Royals,AL,162,691,781,1507,120,4.27,4.82,9.3,0.74
2009,Kansas City Royals,AL,162,686,842,1432,144,4.23,5.2,8.84,0.89
2010,Kansas City Royals,AL,162,676,845,1534,121,4.17,5.22,9.47,0.75
2011,Kansas City Royals,AL,162,730,762,1560,129,4.51,4.7,9.63,0.8
2012,Kansas City Royals,AL,162,676,746,1492,131,4.17,4.6,9.21,0.81
2013,Kansas City Royals,AL,162,648,601,1443,112,4,3.71,8.91,0.69
2014,Kansas City Royals,AL,162,651,624,1456,95,4.02,3.85,8.99,0.59
2015,Kansas City Royals,AL,162,724,641,1497,139,4.47,3.96,9.24,0.86
2016,Kansas City Royals,AL,162,675,712,1450,147,4.17,4.4,8.95,0.91
2017,Kansas City Royals,AL,100,437,454,870,127,4.37,4.41,8.7,1.27
2005,Los Angeles Angels,AL,162,761,643,1520,147,4.7,3.97,9.38,0.91
2006,Los Angeles Angels,AL,162,766,732,1539,159,4.73,4.52,9.5,0.98
2007,Los Angeles Angels,AL,162,822,731,1578,123,5.07,4.51,9.74,0.76
2008,Los Angeles Angels,AL,162,765,697,1486,159,4.72,4.3,9.17,0.98
2009,Los Angeles Angels,AL,162,883,761,1604,173,5.45,4.7,9.9,1.07
2010,Los Angeles Angels,AL,162,681,702,1363,155,4.2,4.33,8.41,0.96
2011,Los Angeles Angels,AL,162,667,633,1394,155,4.12,3.91,8.6,0.96
2012,Los Angeles Angels,AL,162,767,699,1518,187,4.73,4.31,9.37,1.15
2013,Los Angeles Angels,AL,162,733,737,1476,164,4.52,4.55,9.11,1.01
2014,Los Angeles Angels,AL,162,773,630,1464,155,4.77,3.89,9.04,0.96
2015,Los Angeles Angels,AL,162,661,675,1331,176,4.08,4.17,8.22,1.09
2016,Los Angeles Angels,AL,162,717,727,1410,156,4.43,4.49,8.7,0.96
2017,Los Angeles Angels,AL,103,419,466,832,110,4.07,4.4,8.08,1.07
1970,Los Angeles Dodgers,NL,161,749,684,1515,87,4.65,4.25,9.41,0.54
1971,Los Angeles Dodgers,NL,162,663,587,1469,95,4.09,3.62,9.07,0.59
1972,Los Angeles Dodgers,NL,155,584,527,1349,98,3.77,3.4,8.7,0.63
1973,Los Angeles Dodgers,NL,162,675,565,1473,110,4.17,3.49,9.09,0.68
1974,Los Angeles Dodgers,NL,162,798,561,1511,139,4.93,3.46,9.33,0.86
1975,Los Angeles Dodgers,NL,162,648,534,1355,118,4,3.3,8.36,0.73
1976,Los Angeles Dodgers,NL,162,608,543,1371,91,3.75,3.35,8.46,0.56
1977,Los Angeles Dodgers,NL,162,769,582,1484,191,4.75,3.59,9.16,1.18
1978,Los Angeles Dodgers,NL,162,727,573,1435,149,4.49,3.54,8.86,0.92
1979,Los Angeles Dodgers,NL,162,739,717,1443,183,4.56,4.43,8.91,1.13
1980,Los Angeles Dodgers,NL,163,663,591,1462,148,4.07,3.63,8.97,0.91
1981,Los Angeles Dodgers,NL,110,450,356,984,82,4.09,3.24,8.95,0.75
1982,Los Angeles Dodgers,NL,162,691,612,1487,138,4.27,3.78,9.18,0.85
1983,Los Angeles Dodgers,NL,163,654,609,1358,146,4.01,3.74,8.33,0.9
1984,Los Angeles Dodgers,NL,162,580,600,1316,102,3.58,3.7,8.12,0.63
1985,Los Angeles Dodgers,NL,162,682,579,1434,129,4.21,3.57,8.85,0.8
1986,Los Angeles Dodgers,NL,162,638,679,1373,130,3.94,4.19,8.48,0.8
1987,Los Angeles Dodgers,NL,162,635,675,1389,125,3.92,4.17,8.57,0.77
1988,Los Angeles Dodgers,NL,162,628,544,1346,99,3.88,3.36,8.31,0.61
1989,Los Angeles Dodgers,NL,160,554,536,1313,89,3.46,3.35,8.21,0.56
1990,Los Angeles Dodgers,NL,162,728,685,1436,129,4.49,4.23,8.86,0.8
1991,Los Angeles Dodgers,NL,162,665,565,1366,108,4.1,3.49,8.43,0.67
1992,Los Angeles Dodgers,NL,162,548,636,1333,72,3.38,3.93,8.23,0.44
1993,Los Angeles Dodgers,NL,162,675,662,1458,130,4.17,4.09,9,0.8
1994,Los Angeles Dodgers,NL,114,532,509,1055,115,4.67,4.46,9.25,1.01
1995,Los Angeles Dodgers,NL,144,634,609,1303,140,4.4,4.23,9.05,0.97
1996,Los Angeles Dodgers,NL,162,703,652,1396,150,4.34,4.02,8.62,0.93
1997,Los Angeles Dodgers,NL,162,742,645,1488,174,4.58,3.98,9.19,1.07
1998,Los Angeles Dodgers,NL,162,669,678,1374,159,4.13,4.19,8.48,0.98
1999,Los Angeles Dodgers,NL,162,793,787,1480,187,4.9,4.86,9.14,1.15
2000,Los Angeles Dodgers,NL,162,798,729,1408,211,4.93,4.5,8.69,1.3
2001,Los Angeles Dodgers,NL,162,758,744,1399,206,4.68,4.59,8.64,1.27
2002,Los Angeles Dodgers,NL,162,713,643,1464,155,4.4,3.97,9.04,0.96
2003,Los Angeles Dodgers,NL,162,574,556,1328,124,3.54,3.43,8.2,0.77
2004,Los Angeles Dodgers,NL,162,761,684,1450,203,4.7,4.22,8.95,1.25
2005,Los Angeles Dodgers,NL,162,685,755,1374,149,4.23,4.66,8.48,0.92
2006,Los Angeles Dodgers,NL,162,820,751,1552,153,5.06,4.64,9.58,0.94
2007,Los Angeles Dodgers,NL,162,735,727,1544,129,4.54,4.49,9.53,0.8
2008,Los Angeles Dodgers,NL,162,700,648,1455,137,4.32,4,8.98,0.85
2009,Los Angeles Dodgers,NL,162,780,611,1511,145,4.81,3.77,9.33,0.9
2010,Los Angeles Dodgers,NL,162,667,692,1368,120,4.12,4.27,8.44,0.74
2011,Los Angeles Dodgers,NL,161,644,612,1395,117,4,3.8,8.66,0.73
2012,Los Angeles Dodgers,NL,162,637,597,1369,116,3.93,3.69,8.45,0.72
2013,Los Angeles Dodgers,NL,162,649,582,1447,138,4.01,3.59,8.93,0.85
2014,Los Angeles Dodgers,NL,162,718,617,1476,134,4.43,3.81,9.11,0.83
2015,Los Angeles Dodgers,NL,162,667,595,1346,187,4.12,3.67,8.31,1.15
2016,Los Angeles Dodgers,NL,162,725,638,1376,189,4.48,3.94,8.49,1.17
2017,Los Angeles Dodgers,NL,102,524,350,889,148,5.14,3.33,8.72,1.45
2012,Miami Marlins,NL,162,609,724,1327,137,3.76,4.47,8.19,0.85
2013,Miami Marlins,NL,162,513,646,1257,95,3.17,3.99,7.76,0.59
2014,Miami Marlins,NL,162,645,674,1399,122,3.98,4.16,8.64,0.75
2015,Miami Marlins,NL,162,613,678,1420,120,3.78,4.19,8.77,0.74
2016,Miami Marlins,NL,161,655,682,1460,128,4.07,4.24,9.07,0.8
2017,Miami Marlins,NL,100,473,510,929,121,4.73,4.95,9.29,1.21
1970,Milwaukee Brewers,AL,163,613,751,1305,126,3.76,4.61,8.01,0.77
1971,Milwaukee Brewers,AL,161,534,609,1188,104,3.32,3.78,7.38,0.65
1972,Milwaukee Brewers,AL,156,493,595,1204,88,3.16,3.81,7.72,0.56
1973,Milwaukee Brewers,AL,162,708,731,1399,145,4.37,4.51,8.64,0.9
1974,Milwaukee Brewers,AL,162,647,660,1335,120,3.99,4.07,8.24,0.74
1975,Milwaukee Brewers,AL,162,675,792,1343,146,4.17,4.89,8.29,0.9
1976,Milwaukee Brewers,AL,161,570,655,1326,88,3.54,4.07,8.24,0.55
1977,Milwaukee Brewers,AL,162,639,765,1425,125,3.94,4.72,8.8,0.77
1978,Milwaukee Brewers,AL,162,804,650,1530,173,4.96,4.01,9.44,1.07
1979,Milwaukee Brewers,AL,161,807,722,1552,185,5.01,4.48,9.64,1.15
