CHW,2012,1965955
CHW,2013,1768413
CHW,2014,1650821
CHW,2015,1755810
CHW,2016,1746293
CIN,1969,987991
CIN,1970,901784
CIN,1971,1501122
CIN,1972,1611459
CIN,1973,2017601
CIN,1974,2164307
CIN,1975,2315603
CIN,1976,2629708
CIN,1977,2519670
CIN,1978,2532497
CIN,1979,2356933
CIN,1980,2022450
CIN,1981,1093730
CIN,1982,1326528
CIN,1983,1190419
CIN,1984,1275887
CIN,1985,1834619
CIN,1986,1692432
CIN,1987,2185205
CIN,1988,2072528
CIN,1989,1979320
CIN,1990,2400892
CIN,1991,2372377
CIN,1992,2315946
CIN,1993,2453232
CIN,1994,1897681
CIN,1995,1837649
CIN,1996,1861428
CIN,1997,1785788
CIN,1998,1793649
CIN,1999,2061324
CIN,2000,2599318
CIN,2001,1879757
CIN,2002,1855787
CIN,2003,2355259
CIN,2004,2287250
CIN,2005,1943157
CIN,2006,2135417
CIN,2007,2058593
CIN,2008,2058632
CIN,2009,1747920
CIN,2010,2060551
CIN,2011,2213498
CIN,2012,2347251
CIN,2013,2492059
CIN,2014,2476664
CIN,2015,2419506
CIN,2016,1894085
CLE,1969,619970
CLE,1970,729752
CLE,1971,591361
CLE,1972,626354
CLE,1973,615107
CLE,1974,1114262
CLE,1975,977039
CLE,1976,948776
CLE,1977,900365
CLE,1978,800584
CLE,1979,1011644
CLE,1980,1033827
CLE,1981,661395
CLE,1982,1044021
CLE,1983,768941
CLE,1984,734079
CLE,1985,655181
CLE,1986,1471805
CLE,1987,1077898
CLE,1988,1411610
CLE,1989,1285542
CLE,1990,1225240
CLE,1991,1051863
CLE,1992,1224094
CLE,1993,2177908
CLE,1994,1995174
CLE,1995,2842745
CLE,1996,3318174
CLE,1997,3404750
CLE,1998,3467299
CLE,1999,3468436
CLE,2000,3456278
CLE,2001,3175523
CLE,2002,2616940
CLE,2003,1730002
CLE,2004,1814401
CLE,2005,1973185
CLE,2006,1998070
CLE,2007,2275911
CLE,2008,2168760
CLE,2009,1766242
CLE,2010,1391644
CLE,2011,1840835
CLE,2012,1603599
CLE,2013,1572926
CLE,2014,1437393
CLE,2015,1388905
CLE,2016,1591667
COL,1993,4483350
COL,1994,3281511
COL,1995,3390037
COL,1996,3891014
COL,1997,3888453
COL,1998,3792683
COL,1999,3235833
COL,2000,3285711
COL,2001,3166821
COL,2002,2737838
COL,2003,2334085
COL,2004,2338069
COL,2005,1915586
COL,2006,2104558
COL,2007,2327846
COL,2008,2650218
COL,2009,2665080
COL,2010,2875245
COL,2011,2909777
COL,2012,2630458
COL,2013,2793828
COL,2014,2680329
COL,2015,2506789
COL,2016,2602524
DET,1969,1577481
DET,1970,1501293
DET,1971,1591073
DET,1972,1892386
DET,1973,1724146
DET,1974,1243080
DET,1975,1058836
DET,1976,1467020
DET,1977,1359856
